,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
0,1,The Shawshank Redemption,1994,142,9.3,81.0,2646498,28.34,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"['Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler']"
1,2,The Godfather,1972,175,9.2,100.0,1834453,134.97,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,"['Marlon Brando, Al Pacino, James Caan, Diane Keaton']"
2,3,The Dark Knight,2008,152,9.0,84.0,2618406,534.86,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"['Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine']"
3,4,The Lord of the Rings: The Return of the King,2003,201,9.0,94.0,1822452,377.85,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"['Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom']"
4,5,Schindler's List,1993,195,9.0,94.0,1341386,96.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"['Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall']"
5,6,The Godfather Part II,1974,202,9.0,90.0,1257284,57.3,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"['Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton']"
6,7,12 Angry Men,1957,96,9.0,96.0,781342,4.36,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"['Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler']"
7,8,Rocketry: The Nambi Effect,2022,157,8.9,62.28,46123,75.62454999999994,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.",Madhavan,"['Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra']"
8,9,Jai Bhim,2021,164,8.9,62.28,198740,239.0,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan']"
9,10,Pulp Fiction,1994,154,8.9,94.0,2025192,107.93,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"['John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis']"
10,11,Inception,2010,148,8.8,74.0,2320632,292.58,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"['Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe']"
11,12,The Lord of the Rings: The Two Towers,2002,179,8.8,87.0,1645598,342.55,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"['Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom']"
12,13,Fight Club,1999,139,8.8,66.0,2091234,37.03,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"['Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier']"
13,14,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1848500,315.54,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"['Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean']"
14,15,Forrest Gump,1994,142,8.8,82.0,2049124,330.25,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,"['Tom Hanks, Robin Wright, Gary Sinise, Sally Field']"
15,16,"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,755360,6.1,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"['Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè']"
16,17,Soorarai Pottru,2020,153,8.7,62.28,114794,75.62454999999994,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,"['Suriya, Aparna Balamurali, Paresh Rawal, Urvashi']"
17,18,The Matrix,1999,136,8.7,73.0,1892621,171.48,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, Lilly Wachowski","['Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving']"
18,19,Goodfellas,1990,145,8.7,90.0,1146600,46.84,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"['Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco']"
19,20,The Empire Strikes Back,1980,124,8.7,82.0,1278935,290.48,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"['Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams']"
20,21,One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,999405,112.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Milos Forman,"['Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco']"
21,22,Interstellar,2014,169,8.6,74.0,1790188,188.02,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"['Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy']"
